sess,Type,lr,bsize,DS,lossFunc,emb_dim,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.030044669285416603,15.780616760253906,19.432876586914062,17.883451461791992
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.029580438509583473,16.07376480102539,21.17206573486328,18.09245491027832
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,30.0,0.03361531347036362,16.227506637573242,21.042476654052734,17.703014373779297
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.027376465499401093,16.998062133789062,22.099334716796875,23.708026885986328
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.026257304474711418,15.299795150756836,15.2982759475708,15.128301620483398
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.030981013551354408,17.447919845581055,27.20157814025879,16.3765926361084
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.03267327696084976,16.132863998413086,21.98297882080078,14.758729934692383
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.03997081145644188,14.600297927856445,18.64296531677246,13.929155349731445
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.03083989769220352,16.209840774536133,21.15081024169922,15.850008010864258
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.031539883464574814,16.211374282836914,22.65047836303711,18.04474639892578
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.030061939731240273,15.893951416015625,19.434110641479492,18.04663848876953
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.02962120808660984,16.208158493041992,21.225154876708984,17.840553283691406
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,40.0,0.032995834946632385,15.703631401062012,20.780853271484375,17.09906768798828
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.027658427134156227,17.377479553222656,21.884620666503906,24.129131317138672
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.025836942717432976,15.381528854370117,15.319108963012695,14.359752655029297
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.030852466821670532,17.54977035522461,27.51486587524414,16.036645889282227
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.03267353028059006,16.446449279785156,21.45684242248535,14.911022186279297
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.04019938409328461,14.425154685974121,18.804262161254883,13.963516235351562
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.0310762207955122,16.2928466796875,21.04204750061035,16.355606079101562
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.03424092009663582,17.19902992248535,23.79249382019043,22.004901885986328
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.03005758486688137,15.984560012817383,19.427913665771484,18.277667999267578
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.029693476855754852,16.032812118530273,21.04405403137207,17.74272918701172
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,5.0,0.03344949707388878,16.109468460083008,20.932819366455078,17.427322387695312
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.028262799605727196,17.912582397460938,21.931045532226562,26.151531219482422
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.026442093774676323,15.298065185546875,15.223073959350586,15.336318016052246
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.03081672079861164,17.291866302490234,27.731050491333008,15.997122764587402
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.03249985724687576,16.428115844726562,21.21369743347168,14.886005401611328
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.03998022899031639,14.384878158569336,18.748546600341797,13.846853256225586
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.0307422187179327,16.057802200317383,21.266843795776367,15.783811569213867
