sess,Type,lr,bsize,DS,emb_dim,weight_Decay,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
test,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.001,0.04548775032162666,13.040688514709473,65.42466735839844,46.53398132324219
test,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.001,0.06018354743719101,16.70433235168457,65.60903930664062,61.12192153930664
test,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.001,0.05909566581249237,15.7426118850708,70.05590057373047,54.81499481201172
test,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.001,0.06621399521827698,14.19409465789795,79.00909423828125,55.50325012207031
train,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.001,0.06079540029168129,15.499411582946777,69.31979370117188,54.458168029785156
train,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.001,0.059486448764801025,15.231465339660645,79.54865264892578,52.54750442504883
train,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.001,0.05581234395503998,14.279295921325684,70.10977172851562,52.706077575683594
train,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.001,0.07371841371059418,15.70659065246582,118.30400848388672,66.04087829589844
train,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.001,0.06350646167993546,15.461946487426758,88.97920989990234,58.06011199951172
test,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.001,0.0616450309753418,12.612911224365234,103.52085876464844,43.14365768432617
test,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.001,0.05785742774605751,14.510318756103516,64.79621887207031,68.39227294921875
test,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.001,0.060087740421295166,16.612525939941406,76.48323059082031,60.02698516845703
test,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.001,0.062461331486701965,16.11491584777832,73.62586975097656,58.532108306884766
test,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.001,0.06338635832071304,21.126312255859375,58.191837310791016,51.48191452026367
train,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.001,0.061590295284986496,15.605558395385742,69.1550521850586,55.94462203979492
train,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.001,0.0639781728386879,15.598824501037598,82.60468292236328,57.73877716064453
train,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.001,0.0548248328268528,14.156982421875,71.17179107666016,50.21500015258789
train,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.001,0.05584952235221863,14.4031982421875,75.44692993164062,51.82526397705078
train,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.001,0.056904226541519165,14.311969757080078,79.54678344726562,51.644981384277344
