sess,Type,lr,bsize,DS,emb_dim,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.04902318865060806,13.432991981506348,67.01971435546875,49.919166564941406
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.06063912436366081,16.651111602783203,76.70223236083984,59.36943054199219
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.058783549815416336,15.762045860290527,70.68965911865234,51.771060943603516
test,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.05808509141206741,15.72987174987793,57.868133544921875,46.00003433227539
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.05918286740779877,14.871265411376953,69.17255401611328,52.69647216796875
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.058356381952762604,14.739649772644043,77.79682922363281,52.167484283447266
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.055224839597940445,14.019981384277344,74.96601867675781,49.499229431152344
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.05590565875172615,14.301961898803711,77.22965240478516,51.58524703979492
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.05647039785981178,14.358614921569824,76.70423126220703,53.04174041748047
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.06105712428689003,13.478147506713867,93.39086151123047,47.747127532958984
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.051438383758068085,13.462981224060059,66.30801391601562,55.22167205810547
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.060786183923482895,16.619461059570312,77.17633819580078,59.78104782104492
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.05929913744330406,15.546636581420898,74.5045166015625,51.325748443603516
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0564015731215477,14.386503219604492,57.46128463745117,47.42403793334961
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.059281934052705765,14.893492698669434,68.6506118774414,53.0584716796875
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.05849181115627289,14.79266357421875,77.85445404052734,51.99009704589844
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.05479051172733307,13.972601890563965,73.046142578125,49.712764739990234
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.055677786469459534,14.266478538513184,75.4932632446289,51.829708099365234
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0566350519657135,14.552899360656738,77.49640655517578,52.567176818847656
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.061118073761463165,13.383910179138184,95.1391372680664,47.316104888916016
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.049022283405065536,13.208792686462402,73.36238861083984,48.25532150268555
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.06116838753223419,16.649810791015625,76.81304168701172,59.86725997924805
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.05859452858567238,15.587858200073242,72.69802856445312,51.98478317260742
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.0584532767534256,15.78075885772705,57.67333984375,47.231117248535156
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.05908980593085289,14.855236053466797,69.21072387695312,53.14137649536133
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.05841745808720589,14.827825546264648,78.9975357055664,51.99556350708008
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.05460311099886894,13.875517845153809,73.42433166503906,49.44535827636719
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.056043971329927444,14.320347785949707,76.50825500488281,51.62506866455078
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.056160591542720795,14.398674964904785,76.76496124267578,51.87870788574219
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.059977248311042786,12.697319984436035,93.9655532836914,48.46514892578125
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0500820130109787,13.200387001037598,75.15995788574219,49.42108917236328
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.06084448844194412,16.62454605102539,76.57759857177734,59.90054702758789
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0589117594063282,15.885390281677246,70.304443359375,51.4574089050293
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.05584236979484558,14.297394752502441,57.89814758300781,45.59505844116211
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.05890636518597603,14.807567596435547,68.52340698242188,52.81044006347656
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.05851448327302933,14.9052152633667,77.1033706665039,52.234344482421875
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.05499174818396568,13.877927780151367,74.33036804199219,50.341796875
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.05521317943930626,14.208024978637695,74.30694580078125,51.34605407714844
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.05663329362869263,14.514785766601562,76.29676055908203,53.068782806396484
test,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.06373438239097595,14.155294418334961,94.17040252685547,51.38895034790039
test,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.04874933883547783,13.854751586914062,58.74720001220703,51.840728759765625
test,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.061101511120796204,16.54891014099121,74.95455169677734,59.945106506347656
test,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.05805414542555809,15.534729957580566,70.19425201416016,51.587310791015625
test,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.05734623223543167,14.890501976013184,58.5460319519043,46.17692184448242
train,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.05944019928574562,14.991848945617676,69.2837905883789,53.125244140625
train,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.0660189762711525,15.903316497802734,89.27487182617188,59.011165618896484
train,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.05457211285829544,13.907811164855957,73.18560028076172,49.845428466796875
train,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.05557427182793617,14.238981246948242,74.74993896484375,52.0577278137207
train,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.05702668055891991,14.575441360473633,76.89414978027344,53.05972671508789
test,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.06033363565802574,12.757734298706055,97.81442260742188,45.78432846069336
test,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.04808174446225166,13.506902694702148,62.89273452758789,49.881874084472656
test,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.061557888984680176,16.601938247680664,76.15584564208984,59.54208755493164
test,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.05963439866900444,15.436254501342773,77.21294403076172,52.57753372192383
test,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.05682222545146942,15.299336433410645,57.72896957397461,44.83610153198242
train,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.05972311273217201,14.877745628356934,70.02655029296875,52.95684051513672
train,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.058805081993341446,14.802356719970703,79.49529266357422,52.341800689697266
train,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.05517309159040451,13.914008140563965,75.10968017578125,50.0522575378418
train,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.05542697012424469,14.250454902648926,73.93122863769531,52.24534606933594
train,angle,0.001,128.0,IWALQQ_AE_4th,70.0,0.05621950328350067,14.443098068237305,75.65138244628906,53.14423370361328
test,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.060211293399333954,12.534810066223145,96.82367706298828,47.353023529052734
test,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.04983200505375862,13.678082466125488,62.53599548339844,52.84403991699219
test,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.06133144721388817,16.67954444885254,75.2564468383789,59.598304748535156
test,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.05848788097500801,15.601509094238281,71.66002655029297,51.37267303466797
test,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.057350367307662964,14.509026527404785,59.07471466064453,46.396217346191406
train,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.058873873203992844,14.806235313415527,68.30548858642578,53.08068084716797
train,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.05864276364445686,14.833524703979492,78.12187194824219,52.63407897949219
train,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.05492497980594635,14.080699920654297,72.75823211669922,50.27722930908203
train,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.0552995502948761,14.19953727722168,75.14722442626953,51.10708236694336
train,angle,0.001,128.0,IWALQQ_AE_4th,80.0,0.056644003838300705,14.496097564697266,76.6906967163086,52.89987564086914
