sess,Type,lr,bsize,DS,emb_dim,weight_Decay,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,30.0,0.001,0.048259187489748,13.062739372253418,73.54815673828125,47.7939453125
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,30.0,0.001,0.06151651591062546,17.09110450744629,77.16919708251953,61.267333984375
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,30.0,0.001,0.05827958509325981,16.031177520751953,61.679622650146484,56.205509185791016
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,30.0,0.001,0.06889738887548447,14.265424728393555,77.85150909423828,63.03795623779297
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,30.0,0.001,0.05910637229681015,15.064775466918945,67.69951629638672,52.321372985839844
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,30.0,0.001,0.0648619756102562,15.887627601623535,87.42150115966797,58.02674102783203
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,30.0,0.001,0.06152631714940071,15.081066131591797,80.97500610351562,57.296592712402344
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,30.0,0.001,0.055240973830223083,14.525646209716797,73.05897521972656,51.19961929321289
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,30.0,0.001,0.06207059323787689,15.056628227233887,85.48148345947266,58.1579475402832
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,40.0,0.001,0.06260120123624802,13.59228229522705,91.20352935791016,51.124202728271484
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,40.0,0.001,0.04836253821849823,12.988677024841309,61.412227630615234,55.08932876586914
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,40.0,0.001,0.060757722705602646,16.99701690673828,67.42269897460938,61.95576858520508
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,40.0,0.001,0.060767412185668945,16.711084365844727,63.96986770629883,55.55744552612305
test,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,40.0,0.001,0.06656067073345184,15.352998733520508,75.65217590332031,54.7008056640625
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,40.0,0.001,0.058202967047691345,14.817607879638672,65.88823699951172,52.48949432373047
train,angle,0.001,128.0,IWALQQ_AE_MOSTyle_2nd,40.0,0.001,0.058046720921993256,14.726709365844727,74.72587585449219,52.3302001953125
