sess,Type,lr,bsize,DS,lossFunc,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
train,angle,0.008,128.0,IWALQQ_AE_4th,MAE,0.056706734001636505,14.590047836303711,74.24178314208984,50.710777282714844
train,angle,0.008,128.0,IWALQQ_AE_4th,MAE,0.05287730693817139,13.639463424682617,69.80982971191406,47.856327056884766
train,angle,0.008,128.0,IWALQQ_AE_4th,MAE,0.053696002811193466,13.96214771270752,70.72026824951172,50.04149627685547
train,angle,0.008,128.0,IWALQQ_AE_4th,MAE,0.0549224428832531,14.238579750061035,73.32843017578125,51.47580337524414
test,angle,0.01,128.0,IWALQQ_AE_4th,MAE,0.06167986989021301,13.155120849609375,94.868408203125,49.710689544677734
test,angle,0.01,128.0,IWALQQ_AE_4th,MAE,0.048548415303230286,13.563233375549316,60.589393615722656,51.361839294433594
test,angle,0.01,128.0,IWALQQ_AE_4th,MAE,0.061065468937158585,16.588834762573242,74.95944213867188,59.7306022644043
test,angle,0.01,128.0,IWALQQ_AE_4th,MAE,0.059074871242046356,15.743705749511719,73.35066223144531,51.596458435058594
test,angle,0.01,128.0,IWALQQ_AE_4th,MAE,0.05650697648525238,15.067181587219238,57.500770568847656,45.404441833496094
train,angle,0.01,128.0,IWALQQ_AE_4th,MAE,0.05757327005267143,14.726770401000977,65.00479125976562,51.712684631347656
train,angle,0.01,128.0,IWALQQ_AE_4th,MAE,0.0567307211458683,14.61223030090332,74.28179168701172,50.77864456176758
train,angle,0.01,128.0,IWALQQ_AE_4th,MAE,0.052914198487997055,13.633443832397461,69.96394348144531,47.87873458862305
train,angle,0.01,128.0,IWALQQ_AE_4th,MAE,0.05377231910824776,13.976278305053711,71.19007110595703,50.16392135620117
train,angle,0.01,128.0,IWALQQ_AE_4th,MAE,0.05494695529341698,14.231694221496582,73.33879852294922,51.51807403564453
test,moBWHT,0.006,128.0,IWALQQ_AE_4th,MAE,0.027069317176938057,15.212510108947754,19.88992691040039,19.20522117614746
test,moBWHT,0.006,128.0,IWALQQ_AE_4th,MAE,0.025858821347355843,15.510162353515625,15.37784194946289,14.267972946166992
test,moBWHT,0.006,128.0,IWALQQ_AE_4th,MAE,0.031013021245598793,17.443225860595703,28.12290382385254,16.097787857055664
test,moBWHT,0.006,128.0,IWALQQ_AE_4th,MAE,0.032542984932661057,16.25792121887207,21.853437423706055,14.763856887817383
test,moBWHT,0.006,128.0,IWALQQ_AE_4th,MAE,0.04047256335616112,14.564169883728027,18.841815948486328,14.0719633102417
train,moBWHT,0.006,128.0,IWALQQ_AE_4th,MAE,0.02889229729771614,14.964030265808105,20.117952346801758,14.263824462890625
train,moBWHT,0.006,128.0,IWALQQ_AE_4th,MAE,0.030698569491505623,16.0732421875,22.313905715942383,16.763671875
train,moBWHT,0.006,128.0,IWALQQ_AE_4th,MAE,0.029223985970020294,15.673430442810059,18.96223258972168,16.689889907836914
