sess,Type,lr,bsize,DS,emb_dim,weight_Decay,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.060471925884485245,14.918606758117676,73.40129852294922,53.6712646484375
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.06372583657503128,15.6887788772583,83.44172668457031,58.52662658691406
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.057313546538352966,14.6240873336792,75.54871368408203,52.58327102661133
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.06205183267593384,15.36678409576416,86.99662017822266,56.37718963623047
train,angle,0.001,128.0,IWALQQ_AE_4th,30.0,0.001,0.0604700930416584,15.40771198272705,78.45195770263672,55.80970001220703
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0,0.060798387974500656,14.917074203491211,67.1404800415039,53.04195785522461
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0,0.06255104392766953,17.415678024291992,100.06050872802734,56.84300994873047
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0,0.06909318268299103,21.7032527923584,68.10957336425781,64.58682250976562
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0,0.062303490936756134,16.67060089111328,63.35036087036133,64.34038543701172
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0,0.07009369879961014,19.316814422607422,74.03279113769531,54.88003158569336
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0,0.039308950304985046,10.617856979370117,42.15531921386719,36.13127136230469
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0,0.03956650197505951,10.755084037780762,44.8092155456543,38.42961883544922
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0,0.03740493580698967,10.01378059387207,46.1071891784668,37.33224105834961
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0,0.03596297279000282,9.593167304992676,46.42005920410156,35.42649459838867
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.0,0.03681293874979019,9.790926933288574,45.3931999206543,35.810604095458984
